,Name,Height,CO2,Pollution,Crown_height,Crown_width,Canopy,Leaf_area,Leaf_biomass,circoscrizione
5900,Aesculus hippocastanum,8.0,4.0,82.7,2.4,5.0,19.6,57.0,4.0,S.GIUSEPPE-S.CHIARA
6094,Aesculus hippocastanum,4.0,3.1,38.7,1.2,4.0,12.6,26.7,1.9,S.GIUSEPPE-S.CHIARA
5848,Aesculus hippocastanum,3.5,1.4,10.0,1.0,2.0,3.1,6.9,0.5,S.GIUSEPPE-S.CHIARA
5847,Aesculus hippocastanum,3.5,1.3,4.2,1.0,1.0,0.8,2.9,0.2,S.GIUSEPPE-S.CHIARA
5846,Aesculus hippocastanum,9.0,10.3,542.4,2.7,10.0,78.5,373.9,26.1,S.GIUSEPPE-S.CHIARA
1543,Aesculus hippocastanum,15.0,13.7,693.5,4.5,15.0,176.7,478.1,33.4,ARGENTARIO
5819,Aesculus hippocastanum,9.0,12.6,173.7,2.7,6.0,28.3,119.7,8.4,S.GIUSEPPE-S.CHIARA
1545,Aesculus hippocastanum,15.0,18.0,865.5,4.5,12.0,113.1,596.6,41.7,ARGENTARIO
1559,Aesculus hippocastanum,14.0,17.9,690.7,4.2,11.0,95.0,476.2,33.3,ARGENTARIO
1563,Aesculus hippocastanum,16.0,14.8,205.3,4.8,6.0,28.3,141.6,9.9,ARGENTARIO
5818,Aesculus hippocastanum,4.0,1.4,9.7,1.2,2.0,3.1,6.7,0.5,S.GIUSEPPE-S.CHIARA
5817,Aesculus hippocastanum,12.0,17.7,411.3,3.6,8.0,50.3,283.5,19.8,S.GIUSEPPE-S.CHIARA
5816,Aesculus hippocastanum,10.0,7.3,312.1,3.0,8.0,50.3,215.2,15.0,S.GIUSEPPE-S.CHIARA
5815,Aesculus hippocastanum,8.0,5.7,121.3,2.4,6.0,28.3,83.6,5.8,S.GIUSEPPE-S.CHIARA
5814,Aesculus hippocastanum,9.0,13.4,309.7,2.7,8.0,50.3,213.5,14.9,S.GIUSEPPE-S.CHIARA
5820,Aesculus hippocastanum,3.5,1.4,9.4,1.0,2.0,3.1,6.5,0.5,S.GIUSEPPE-S.CHIARA
5813,Aesculus hippocastanum,8.0,5.7,187.6,2.4,7.0,38.5,129.4,9.0,S.GIUSEPPE-S.CHIARA
5811,Aesculus hippocastanum,4.0,1.3,10.0,1.2,2.0,3.1,6.9,0.5,S.GIUSEPPE-S.CHIARA
5810,Aesculus hippocastanum,13.0,20.1,642.3,3.9,10.0,78.5,442.8,31.0,S.GIUSEPPE-S.CHIARA
5809,Aesculus hippocastanum,3.0,1.1,4.6,0.9,1.3,1.3,3.2,0.2,S.GIUSEPPE-S.CHIARA
5808,Aesculus hippocastanum,4.0,1.6,10.7,1.2,2.0,3.1,7.3,0.5,S.GIUSEPPE-S.CHIARA
5807,Aesculus hippocastanum,12.0,13.6,609.8,3.6,10.0,78.5,420.4,29.4,S.GIUSEPPE-S.CHIARA
5806,Aesculus hippocastanum,4.0,1.4,9.1,1.2,2.0,3.1,6.3,0.4,S.GIUSEPPE-S.CHIARA
5805,Aesculus hippocastanum,4.0,1.6,10.7,1.2,2.0,3.1,7.3,0.5,S.GIUSEPPE-S.CHIARA
5628,Aesculus hippocastanum,11.0,13.5,287.5,3.3,8.0,50.3,198.2,13.9,S.GIUSEPPE-S.CHIARA
5627,Aesculus hippocastanum,12.0,22.3,746.0,3.6,12.0,113.1,514.3,36.0,S.GIUSEPPE-S.CHIARA
5626,Aesculus hippocastanum,14.0,24.9,717.9,4.2,12.0,113.1,494.9,34.6,S.GIUSEPPE-S.CHIARA
5812,Aesculus hippocastanum,5.0,3.2,31.7,1.5,4.0,12.6,21.8,1.5,S.GIUSEPPE-S.CHIARA
6106,Aesculus hippocastanum,3.0,1.4,8.1,0.9,2.0,3.1,5.6,0.4,S.GIUSEPPE-S.CHIARA
5821,Aesculus hippocastanum,4.0,1.6,8.8,1.2,2.0,3.1,6.1,0.4,S.GIUSEPPE-S.CHIARA
5823,Aesculus hippocastanum,8.0,9.6,295.1,2.4,8.0,50.3,203.4,14.2,S.GIUSEPPE-S.CHIARA
5845,Aesculus hippocastanum,7.0,5.6,80.5,2.1,5.0,19.6,55.5,3.9,S.GIUSEPPE-S.CHIARA
5844,Aesculus hippocastanum,7.0,5.6,100.8,2.1,6.0,28.3,69.5,4.9,S.GIUSEPPE-S.CHIARA
5843,Aesculus hippocastanum,3.0,1.4,9.3,0.9,2.0,3.1,6.4,0.4,S.GIUSEPPE-S.CHIARA
5842,Aesculus hippocastanum,7.0,3.2,46.4,2.1,4.0,12.6,32.0,2.2,S.GIUSEPPE-S.CHIARA
5841,Aesculus hippocastanum,9.0,13.4,477.4,2.7,10.0,78.5,329.1,23.0,S.GIUSEPPE-S.CHIARA
5840,Aesculus hippocastanum,5.0,2.9,40.4,1.5,4.0,12.6,27.8,1.9,S.GIUSEPPE-S.CHIARA
5839,Aesculus hippocastanum,8.0,7.9,148.3,2.4,6.0,28.3,102.2,7.2,S.GIUSEPPE-S.CHIARA
5838,Aesculus hippocastanum,6.0,4.5,39.3,1.8,4.0,12.6,27.1,1.9,S.GIUSEPPE-S.CHIARA
5837,Aesculus hippocastanum,4.0,1.6,15.9,1.2,3.0,7.1,10.9,0.8,S.GIUSEPPE-S.CHIARA
5836,Aesculus hippocastanum,7.0,11.3,243.3,2.1,8.0,50.3,167.7,11.7,S.GIUSEPPE-S.CHIARA
5822,Aesculus hippocastanum,6.0,3.4,34.3,1.8,4.0,12.6,23.6,1.7,S.GIUSEPPE-S.CHIARA
5835,Aesculus hippocastanum,8.0,13.3,566.3,2.4,10.0,78.5,390.3,27.3,S.GIUSEPPE-S.CHIARA
5833,Aesculus hippocastanum,6.0,3.0,33.0,1.8,4.0,12.6,22.8,1.6,S.GIUSEPPE-S.CHIARA
5832,Aesculus hippocastanum,12.0,24.7,923.7,3.6,12.0,113.1,636.7,44.5,S.GIUSEPPE-S.CHIARA
5831,Aesculus hippocastanum,13.0,29.8,969.8,3.9,12.0,113.1,668.5,46.8,S.GIUSEPPE-S.CHIARA
5830,Aesculus hippocastanum,8.0,11.0,751.3,2.4,12.0,113.1,517.9,36.2,S.GIUSEPPE-S.CHIARA
5829,Aesculus hippocastanum,3.5,1.3,9.6,1.0,2.0,3.1,6.6,0.5,S.GIUSEPPE-S.CHIARA
5828,Aesculus hippocastanum,3.0,1.2,7.3,0.9,2.0,3.1,5.1,0.4,S.GIUSEPPE-S.CHIARA
5827,Aesculus hippocastanum,10.0,16.7,736.4,3.0,11.0,95.0,507.6,35.5,S.GIUSEPPE-S.CHIARA
5826,Aesculus hippocastanum,3.0,0.8,3.9,0.9,1.0,0.8,2.7,0.2,S.GIUSEPPE-S.CHIARA
5825,Aesculus hippocastanum,3.5,1.3,9.6,1.0,2.0,3.1,6.6,0.5,S.GIUSEPPE-S.CHIARA
5824,Aesculus hippocastanum,3.0,1.1,3.5,0.9,1.0,0.8,2.4,0.2,S.GIUSEPPE-S.CHIARA
5834,Aesculus hippocastanum,7.0,3.5,47.3,2.1,4.0,12.6,32.6,2.3,S.GIUSEPPE-S.CHIARA
6107,Aesculus hippocastanum,9.0,17.5,736.7,2.7,11.0,95.0,507.8,35.5,S.GIUSEPPE-S.CHIARA
6108,Aesculus hippocastanum,4.0,2.2,13.8,1.2,2.5,4.9,9.5,0.7,S.GIUSEPPE-S.CHIARA
6109,Aesculus hippocastanum,11.0,17.7,710.6,3.3,11.0,95.0,489.8,34.3,S.GIUSEPPE-S.CHIARA
6184,Aesculus hippocastanum,3.5,1.3,7.0,1.0,1.5,1.8,4.9,0.3,S.GIUSEPPE-S.CHIARA
6183,Aesculus hippocastanum,9.5,22.1,647.5,2.8,11.0,95.0,446.3,31.2,S.GIUSEPPE-S.CHIARA
6182,Aesculus hippocastanum,10.0,22.1,661.7,3.0,10.0,78.5,456.2,31.9,S.GIUSEPPE-S.CHIARA
6181,Aesculus hippocastanum,3.5,2.2,14.2,1.0,2.5,4.9,9.8,0.7,S.GIUSEPPE-S.CHIARA
6180,Aesculus hippocastanum,4.0,2.9,38.0,1.2,4.0,12.6,26.2,1.8,S.GIUSEPPE-S.CHIARA
6179,Aesculus hippocastanum,4.0,1.3,18.0,1.2,3.0,7.1,12.4,0.9,S.GIUSEPPE-S.CHIARA
6178,Aesculus hippocastanum,8.0,4.6,261.4,2.4,8.0,50.3,180.2,12.6,S.GIUSEPPE-S.CHIARA
6177,Aesculus hippocastanum,11.0,13.5,309.0,3.3,8.0,50.3,213.0,14.9,S.GIUSEPPE-S.CHIARA
6176,Aesculus hippocastanum,8.0,3.3,78.6,2.4,5.0,19.6,54.2,3.8,S.GIUSEPPE-S.CHIARA
6175,Aesculus hippocastanum,8.0,9.6,277.1,2.4,8.0,50.3,191.0,13.4,S.GIUSEPPE-S.CHIARA
6185,Aesculus hippocastanum,4.0,2.4,28.0,1.2,3.5,9.6,19.3,1.3,S.GIUSEPPE-S.CHIARA
6174,Aesculus hippocastanum,8.0,17.5,340.5,2.4,8.0,50.3,234.7,16.4,S.GIUSEPPE-S.CHIARA
6172,Aesculus hippocastanum,6.0,1.7,18.2,1.8,3.0,7.1,12.5,0.9,S.GIUSEPPE-S.CHIARA
6171,Aesculus hippocastanum,11.0,17.7,638.4,3.3,10.0,78.5,440.1,30.8,S.GIUSEPPE-S.CHIARA
6170,Aesculus hippocastanum,3.0,1.1,9.2,0.9,2.0,3.1,6.3,0.4,S.GIUSEPPE-S.CHIARA
